@relation kd100-weka.filters.unsupervised.attribute.NumericCleaner-min1.0-min-defaultNaN-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-Rfirst-last-decimals-1

@attribute Geschlecht {w,m}
@attribute Alter {>60,18-30,31-40,41-50,51-60}
@attribute Kinder {nein,ja}
@attribute Familienstand {ledig,Partnerschaft}
@attribute Berufstaetig {nein,ja}
@attribute Einkaufstag {Montag,Donnerstag,Dienstag,Freitag,Samstag,Mittwoch}
@attribute Einkaufsuhrzeit {'<10 Uhr','12-14 Uhr','>17 Uhr','10-12 Uhr','14-17 Uhr'}
@attribute Wohnort {'< 10 km','> 25 km','10 - 25 km'}
@attribute Haushaltsnettoeinkommen {<1000,1000-<2000,3200-<4500,2000-<3200,>4500}
@attribute Einkaufssumme numeric
@attribute Fertiggerichte numeric
@attribute Tiefkuehlware numeric
@attribute Milchprodukte numeric
@attribute Backwaren numeric
@attribute Obst/Gemuese numeric
@attribute Spirituosen numeric
@attribute Tiernahrung numeric
@attribute Bier numeric
@attribute Frischfleisch numeric
@attribute Drogerieartikel numeric
@attribute Konserven numeric
@attribute Kaffee/Tee numeric
@attribute Suessigkeiten numeric
@attribute Wurstwaren numeric
@attribute Schreibwaren numeric

@data
w,>60,nein,ledig,nein,Montag,'<10 Uhr','< 10 km',<1000,473,?,?,?,17,?,13,20,396,?,?,?,27,?,?,?
m,18-30,ja,Partnerschaft,ja,Donnerstag,'12-14 Uhr','< 10 km',1000-<2000,194,24,?,?,?,?,10,?,11,11,36,?,88,?,?,14
w,>60,nein,Partnerschaft,nein,Montag,'>17 Uhr','> 25 km',3200-<4500,202,?,?,?,29,?,2,18,?,78,?,?,21,?,?,54
m,31-40,ja,ledig,nein,Dienstag,'12-14 Uhr','< 10 km',1000-<2000,45,11,?,?,?,?,?,?,?,?,?,?,?,21,?,13
w,31-40,nein,ledig,ja,Freitag,'10-12 Uhr','< 10 km',1000-<2000,311,?,35,?,?,?,?,?,192,?,?,?,84,?,?,?
w,>60,ja,ledig,nein,Samstag,'<10 Uhr','< 10 km',<1000,168,?,?,?,34,?,5,11,45,18,?,?,13,?,?,42
w,18-30,nein,Partnerschaft,ja,Donnerstag,'<10 Uhr','< 10 km',<1000,202,?,?,?,?,?,?,65,?,?,?,18,?,?,119,?
w,>60,nein,Partnerschaft,nein,Donnerstag,'<10 Uhr','< 10 km',2000-<3200,162,12,?,24,3,?,9,22,?,?,?,?,20,72,?,?
w,18-30,nein,ledig,ja,Mittwoch,'10-12 Uhr','< 10 km',2000-<3200,78,?,?,?,?,?,?,78,?,?,?,?,?,?,?,?
m,41-50,nein,Partnerschaft,nein,Samstag,'12-14 Uhr','< 10 km',<1000,10,3,?,?,?,?,?,?,?,?,?,?,?,?,?,7
