Geschlecht,Alter,Kinder,Familienstand,Berufstaetig,Einkaufstag,Einkaufsuhrzeit,Wohnort,Haushaltsnettoeinkommen,Einkaufssumme,Fertiggerichte,Tiefkuehlware,Milchprodukte,Backwaren,Obst/Gemuese,Spirituosen,Tiernahrung,Bier,Frischfleisch,Drogerieartikel,Konserven,Kaffee/Tee,Suessigkeiten,Wurstwaren,Schreibwaren
w,>60,nein,ledig,nein,Montag,<10 Uhr,< 10 km,<1000,473,0,0,0,17,0,13,20,396,0,0,0,27,0,0,0
m,18-30,ja,Partnerschaft,ja,Donnerstag,12-14 Uhr,< 10 km,1000-<2000,194,24,0,0,0,0,10,0,11,11,36,0,88,0,0,14
w,>60,nein,Partnerschaft,nein,Montag,>17 Uhr,> 25 km,3200-<4500,202,0,0,0,29,0,2,18,0,78,0,0,21,0,0,54
m,31-40,ja,ledig,nein,Dienstag,12-14 Uhr,< 10 km,1000-<2000,45,11,0,0,0,0,0,0,0,0,0,0,0,21,0,13
w,31-40,nein,ledig,ja,Freitag,10-12 Uhr,< 10 km,1000-<2000,311,0,35,0,0,0,0,0,192,0,0,0,84,0,0,0
w,>60,ja,ledig,nein,Samstag,<10 Uhr,< 10 km,<1000,168,0,0,0,34,0,5,11,45,18,0,0,13,0,0,42
w,18-30,nein,Partnerschaft,ja,Donnerstag,<10 Uhr,< 10 km,<1000,202,0,0,0,0,0,0,65,0,0,0,18,0,0,119,0
w,>60,nein,Partnerschaft,nein,Donnerstag,<10 Uhr,< 10 km,2000-<3200,162,12,0,24,3,0,9,22,0,0,0,0,20,72,0,0
w,18-30,nein,ledig,ja,Mittwoch,10-12 Uhr,< 10 km,2000-<3200,78,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0
m,41-50,nein,Partnerschaft,nein,Samstag,12-14 Uhr,< 10 km,<1000,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7
w,>60,nein,ledig,nein,Montag,<10 Uhr,> 25 km,2000-<3200,59,0,0,0,22,0,2,20,0,0,0,0,15,0,0,0
