@relation outputtt-weka.filters.unsupervised.attribute.NumericCleaner-min1.0-min-defaultNaN-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-Rfirst-last-decimals-1

@attribute Geschlecht {w,m}
@attribute Alter {>60,18-30,41-50,31-40,51-60}
@attribute Kinder {nein,ja}
@attribute Familienstand {ledig,Partnerschaft}
@attribute Berufstaetig {nein,ja}
@attribute Einkaufstag {Montag,Samstag,Donnerstag,Mittwoch,Freitag,Dienstag}
@attribute Einkaufsuhrzeit {'<10 Uhr','14-17 Uhr','10-12 Uhr','>17 Uhr','12-14 Uhr'}
@attribute Wohnort {'< 10 km','10 - 25 km','> 25 km'}
@attribute Haushaltsnettoeinkommen {<1000,1000-<2000,3200-<4500,2000-<3200,>4500}
@attribute Einkaufssumme numeric
@attribute Fertiggerichte numeric
@attribute Tiefkuehlware numeric
@attribute Milchprodukte numeric
@attribute Backwaren numeric
@attribute Obst/Gemuese numeric
@attribute Spirituosen numeric
@attribute Tiernahrung numeric
@attribute Bier numeric
@attribute Frischfleisch numeric
@attribute Drogerieartikel numeric
@attribute Konserven numeric
@attribute Kaffee/Tee numeric
@attribute Suessigkeiten numeric
@attribute Wurstwaren numeric
@attribute Schreibwaren numeric

@data
w,>60,nein,ledig,nein,Montag,'<10 Uhr','< 10 km',<1000,333,?,?,?,79,?,10,213,?,?,?,12,19,?,?,?
m,18-30,nein,Partnerschaft,ja,Samstag,'14-17 Uhr','< 10 km',1000-<2000,297,?,?,?,16,?,77,171,14,?,6,?,?,?,?,13
w,>60,nein,ledig,nein,Samstag,'<10 Uhr','10 - 25 km',3200-<4500,265,?,?,?,40,88,13,62,?,?,?,?,32,8,?,22
w,18-30,nein,ledig,ja,Samstag,'10-12 Uhr','10 - 25 km',1000-<2000,226,?,48,?,?,?,?,?,?,?,?,?,90,88,?,?
w,18-30,nein,ledig,ja,Donnerstag,'10-12 Uhr','< 10 km',1000-<2000,138,?,?,?,?,?,?,?,138,?,?,?,?,?,?,?
m,18-30,ja,ledig,ja,Samstag,'>17 Uhr','10 - 25 km',1000-<2000,180,2,?,?,9,6,19,?,48,12,?,?,70,?,?,14
w,18-30,nein,ledig,nein,Montag,'12-14 Uhr','10 - 25 km',1000-<2000,122,?,?,15,?,?,?,60,39,?,?,?,?,8,?,?
m,>60,nein,Partnerschaft,nein,Mittwoch,'10-12 Uhr','< 10 km',1000-<2000,115,12,?,?,11,?,?,?,?,?,?,?,12,70,?,10
w,18-30,ja,ledig,ja,Samstag,'>17 Uhr','< 10 km',1000-<2000,282,?,?,?,?,?,65,?,70,?,36,12,?,99,?,?
w,>60,ja,ledig,nein,Freitag,'>17 Uhr','10 - 25 km',2000-<3200,429,20,?,?,8,26,14,9,135,?,?,?,193,?,?,24
m,41-50,nein,Partnerschaft,nein,Samstag,'12-14 Uhr','10 - 25 km',<1000,104,7,10,?,?,?,?,?,?,?,20,?,16,39,?,12
w,18-30,nein,ledig,ja,Freitag,'>17 Uhr','< 10 km',1000-<2000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
w,41-50,nein,ledig,ja,Samstag,'<10 Uhr','> 25 km',>4500,228,3,?,?,36,?,?,?,189,?,?,?,?,?,?,?
m,41-50,nein,ledig,ja,Freitag,'12-14 Uhr','< 10 km',1000-<2000,101,8,?,?,35,?,28,?,?,28,?,?,?,?,?,2
